"Title","Media URL","Pinterest board","Thumbnail","Description","Link","Publish date","Keywords"
"Rare Planet Handcrafted Pink Heart Shaped Ceramic","https://m.media-amazon.com/images/I/812-DPo6q0L._SL1500_.jpg","Gifts for Girlfriends","","This coffee mug is suitable for daily use at home or office. It can be used for tea, coffee or milk. The design is simple and useful. A good gift option for birthdays and special days. It fits well on work desks and kitchen shelves and is easy to clean and use every day.","https://onlypresents.store/product/1q2jpy","","couple, for her, for him, gift set, home decor, mug, romantic, under 500"
"Desidiya Silicon Axolotl Fish Touch Silicon Night","https://m.media-amazon.com/images/I/61YuxQTlH4L._SL1500_.jpg","Gifts for Girlfriends","","This night lamp gives a soft light for bedrooms and desks. It helps create a calm space at night. Suitable for home decor and gifting on birthdays, festivals and special occasions. A simple decorative item for daily use that can be placed beside beds or tables.","https://onlypresents.store/product/82srnr","","for her, for him, gift set, home decor, cute"
"Desidiya Acrylic Romantic Ocean Wave Night Light","https://m.media-amazon.com/images/I/617+MY8hp+L.jpg","Gifts for Girlfriends","","This night lamp gives a soft light for bedrooms and desks. It helps create a calm space at night. Suitable for home decor and gifting on birthdays, festivals and special occasions. A simple decorative item for daily use that can be placed beside beds or tables.","https://onlypresents.store/product/aamnbw","","couple, for her, for him, home decor, romantic, under 500"
"Kalankit Box Sling Bag for Women & Girls","https://m.media-amazon.com/images/I/61CObBm1iYL._SY625_.jpg","Gifts for Girlfriends","","This sling bag is suitable for daily use and travel. It can hold small essentials like phone and wallet. A practical gift option for birthdays and special occasions. Easy to carry and suitable for regular use with casual outfits and outings. It is simple to use and suitable for regular use.","https://onlypresents.store/product/r9jmvt","","accessories, couple, for her, for him, gift set, premium, romantic"
"Astrotalk Raw Pyrite Anklet","https://m.media-amazon.com/images/I/61mV7eVNWtL._SY575_.jpg","Gifts for Girlfriends","","This jewellery item is suitable for daily wear and special occasions. It matches well with casual and festive outfits. A simple gift option for birthdays, anniversaries and celebrations. It can be worn regularly and stored easily when not in use. It is simple to use and suitable for regular use.","https://onlypresents.store/product/3u5wa6","","for her, for him, gift set, jewelry, premium"
"TIED RIBBONS Valentine Romantic Love Couple","https://m.media-amazon.com/images/I/41hdjDYlBwL.jpg","Gifts for Girlfriends","","This decor item is suitable for home and office spaces. It can be placed on tables or shelves to improve the look of the room. A simple gift option for birthdays and special occasions. Suitable for daily decoration and long term display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/k7jbma","","couple, for her, for him, gift set, home decor, romantic, under 500"
"VRB Dec 1pcs Artificial Crochet Flower Bouquet","https://m.media-amazon.com/images/I/61fJjBmd34L._SL1213_.jpg","Gifts for Girlfriends","","This decor item is suitable for home and office spaces. It can be placed on tables or shelves to improve the look of the room. A simple gift option for birthdays and special occasions. Suitable for daily decoration and long term display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/a9r61u","","for her, for him, gift set, home decor, under 500"
"SNAPTRON Artificial Rose Flower with Teddy Bear","https://m.media-amazon.com/images/I/71hcLEoh-NL._SL1500_.jpg","Gifts for Girlfriends","","This soft toy is suitable for room decoration and gifting. It adds a cute touch to beds and desks. A simple gift option for birthdays and special days. Suitable for kids and adults who like small decorative and soft items for daily display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/dw9fzf","","couple, cute, for her, gift set, home decor, romantic, soft toy, under 500"
"ORSGA Fleur Bracelet Watch for Women","https://m.media-amazon.com/images/I/71bm7W4ezQL._SX679_.jpg","Gifts for Girlfriends","","This jewellery item is suitable for daily wear and special occasions. It matches well with casual and festive outfits. A simple gift option for birthdays, anniversaries and celebrations. It can be worn regularly and stored easily when not in use. It is simple to use and suitable for regular use.","https://onlypresents.store/product/ighgr6","","for her, for him, gift set, home decor, jewelry, premium"
"EITHEO Side Changing Octopus Mini Plush","https://m.media-amazon.com/images/I/61-tjRd0OoL._SL1500_.jpg","Gifts for Girlfriends","","This soft toy is suitable for room decoration and gifting. It adds a cute touch to beds and desks. A simple gift option for birthdays and special days. Suitable for kids and adults who like small decorative and soft items for daily display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/5vmp8w","","cute, for her, for him, soft toy, under 500"
"Artvibes Home Quotes Decorative Wall Art MDF","https://m.media-amazon.com/images/I/71vBYh7o5lL._SL1500_.jpg","Gifts for Girlfriends","","This decor item is suitable for home and office spaces. It can be placed on tables or shelves to improve the look of the room. A simple gift option for birthdays and special occasions. Suitable for daily decoration and long term display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/rz7v8o","","for him, gift set, home decor, under 500"
"Rose Quartz Crystal Tree 500 Beads","https://m.media-amazon.com/images/I/715Ed2zA+OL._SL1200_.jpg","Gifts for Girlfriends","","This decor item is suitable for home and office spaces. It can be placed on tables or shelves to improve the look of the room. A simple gift option for birthdays and special occasions. Suitable for daily decoration and long term display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/3rme9e","","couple, for her, for him, home decor, premium, romantic"
"TOYTONIC Big Face Rabbit Night Light for Kids","https://m.media-amazon.com/images/I/617PE8qhaCL._SL1500_.jpg","Gifts for Girlfriends","","This night lamp gives a soft light for bedrooms and desks. It helps create a calm space at night. Suitable for home decor and gifting on birthdays, festivals and special occasions. A simple decorative item for daily use that can be placed beside beds or tables.","https://onlypresents.store/product/xcd6jb","","cute, for her, for him, gift set, home decor, soft toy, under 500"
"Shining Diva Fashion Valentine Gift for Girlfriend","https://m.media-amazon.com/images/I/61fLFJtPU9L._SY575_.jpg","Gifts for Girlfriends","","This jewellery item is suitable for daily wear and special occasions. It matches well with casual and festive outfits. A simple gift option for birthdays, anniversaries and celebrations. It can be worn regularly and stored easily when not in use. It is simple to use and suitable for regular use.","https://onlypresents.store/product/h3a65l","","couple, for her, for him, gift set, jewelry, romantic, under 500"
"Hugging Couple Statue Romantic Home Decor","https://m.media-amazon.com/images/I/61I+nVo2NAL._SL1500_.jpg","Cute Couple Gifts Ideas","","This decor item is suitable for home and office spaces. It can be placed on tables or shelves to improve the look of the room. A simple gift option for birthdays and special occasions. Suitable for daily decoration and long term display. It is simple to use and suitable for regular use.","https://onlypresents.store/product/hqsabu","","couple, for her, for him, gift set, home decor, romantic, under 500"
"Desidiya Romantic Tulip Night Light","https://m.media-amazon.com/images/I/51EXKj47e8L.jpg","Gifts for Girlfriends","","This night lamp gives a soft light for bedrooms and desks. It helps create a calm space at night. Suitable for home decor and gifting on birthdays, festivals and special occasions. A simple decorative item for daily use that can be placed beside beds or tables.","https://onlypresents.store/product/50dwqa","","couple, cute, for her, for him, gift set, home decor, romantic, soft toy"
"Shining Diva Fashion 18k Rose Gold and Silver","https://m.media-amazon.com/images/I/714fIkdqr7L._SY575_.jpg","Gifts for Girlfriends","","This jewellery item is suitable for daily wear and special occasions. It matches well with casual and festive outfits. A simple gift option for birthdays, anniversaries and celebrations. It can be worn regularly and stored easily when not in use. It is simple to use and suitable for regular use.","https://onlypresents.store/product/nyf5mj","","for her, for him, jewelry, under 500"
